artist,album,saved_album,liked_tracks,spotify_uri
020whitton,thinkin bout u (feat. Tia Gordon),,1,
21 Savage,i am > i was,,1,
2nd Exit,Tangent,yes,0,spotify:album:6q1yofWZD3239cGKadlvdf
2XM,The Magic in Her Eyes,,1,
30/70,Cold Radish Coma,yes,15,spotify:album:4ZdX4rd1k3eqdsTNxqIC0t
30/70,Elevate,yes,8,spotify:album:0Uqhx7ZTWRZrvArPKGFufD
30/70,Elevations,yes,6,spotify:album:07FZ3l8ZUfkGTBbKtufGfI
420,420 Sampler,,1,
44th Move,44th Move,yes,0,spotify:album:1HH0AI0mLPPCKpjfZiKMwm
4THSEX,Timetable Vol. 2,,1,
7xvethegenius,The Genius Tape,,1,
A Sagittariun,DJ-Kicks (Mount Kimbie),,1,
A$AP Rocky,Don't Be Dumb,yes,0,spotify:album:4itKk52E9ZCdWUQcFAkud9
A$AP Rocky,PUNK ROCKY,,1,
A$AP Rocky,TESTING,yes,15,spotify:album:3MATDdrpHmQCmuOcozZjDa
Aaron Childs,Tangerine,,1,
Acidslop,Forever Is a Dollar,,1,
Action Bronson,Blue Chips 7000,yes,13,spotify:album:0N3HnJ7Jw1VrfO5TnbNWEA
Action Bronson,Mr. Wonderful,yes,13,spotify:album:70ZBzT0CMjjFQ1bMvPdLjH
Action Bronson,White Bronco,yes,11,spotify:album:1RpE0cvRLrWxtaGeUjWqgV
Actress,Karma & Desire,,1,
Admas,Late Night Tales: Badbadnotgood,,1,
Adrian Lux,Studio Barnhus Volym 1,,1,
AFKAP,Resignation Letter,,1,
Against All Logic,2012 - 2017,yes,11,spotify:album:1uzfGk9vxMXfaZ2avqwxod
Ahmed Fakroun,Awedny,,1,
Ahmed Malek,The Electronic Tapes (Habibi Funk 005),yes,17,spotify:album:5w6IgWyXR9d8AfYrYY31UO
Airhead,Late Night Tales: Bonobo,,1,
Al Dobson Jr.,Rye Lane (Vol. 2 & 3),yes,28,spotify:album:3Enm6DNcGmhOKWARVbfwFv
Al Dobson Jr.,Rye Lane Vol. 1,yes,11,spotify:album:2RSjl55LVVrCatRa1rPook
Al Dobson Jr.,"Sounds from the Village, Vol. 1",yes,15,spotify:album:1619Ndh0fx68ewSXtDz0Xp
Al Dobson Jr.,"Sounds from the Village, Vol. 2",yes,23,spotify:album:188glsPNr1eg8tyWfWwWSB
Alain Bellaïche,Late Night Tales: Floating Points,,2,
Alberto Bof,Stab in the Dark O.S.T.,,1,
Albrecht La'Brooy,Tidal River,,1,
Aleksi Perälä,DJ-Kicks (Mount Kimbie),,1,
Alex Kassian,fabric presents Bonobo,,1,
Alfa Mist,Antiphon,yes,8,spotify:album:3joOXpEsCgg8oS1Tba7neT
Alfa Mist,Organic Rust,,1,
Alfa Mist,Structuralism,yes,8,spotify:album:38XUFMsLLAttgWdD40CTaL
Allah-Las,Raspberry Jam,,1,
Allah-Las,Worship the Sun,,1,
Alma De La Selva,De La Selva,,3,
Ameba,Tangerine Hues,,1,
Amir Alexander,Realest of the Real,,1,
Anchorsong,Mirage,yes,0,spotify:album:1gtjPZUiVldSNaUwzZfdLe
Anderson .Paak,Malibu,yes,16,spotify:album:4VFG1DOuTeDMBjBLZT7hCK
Anderson .Paak,Venice,yes,16,spotify:album:2DOiha5oI19Dmw5M9ryHD8
Anderson .Paak,Ventura,yes,11,spotify:album:0YF8PfcGbsKg5IaFyPnlyY
Ando San,OH KAY,yes,0,spotify:album:5NK9y5GXf4KuRTFuYCWkuU
Andres,Out in the Open,,1,
Andrew Ashong,Sankofa Season,yes,0,spotify:album:2X0ipAg7rr3Zzc9bDuhROn
Andreya Triana,Giants (Deluxe Edition),yes,18,spotify:album:20YAffz6nNgr17LqjRMDYD
Andreya Triana,Life In Colour,,1,
Andrè S.,DJ-Kicks (Moodymann),,1,
Angelo De Augustine,Tomb,yes,12,spotify:album:0H3WQSbJ7SgZtB35BEOP9P
Anne Clark,DJ-Kicks (Moodymann),,1,
AnnenMayKantereit,Tom's Diner,,1,
Aphex Twin,...I Care Because You Do,yes,12,spotify:album:0VG7XLJ8gSynEQDVnpHNNU
Aphex Twin,Syro,yes,12,spotify:album:6oRuinkJdTge4hpTuClEF8
Apifera,6 Visits,yes,0,spotify:album:7k96NyqFWjkeGTL1aJ4gjv
Apifera,Lake VU,,1,
Apifera,Overstand,yes,0,spotify:album:5BuepklHvUdNviID5Dxwrg
Arc De Soleil,Lumin Rain,,1,
Arc De Soleil,The Thief in Marrakesh Got Caught in Amsterdam Trying to Escape,,1,
Arctic Monkeys,AM,yes,12,spotify:album:78bpIziExqiI9qztvNFlQu
Ardisia,Quasar,,1,
ARDN,SHINE (with SiR),,1,
Arlo Parks,Cola,,1,
Arlo Parks,Super Sad Generation,yes,4,spotify:album:3rbmTsfJugRoFghKELgGUe
Armando Young,Loved Ones (Saudades),,1,
Asaad,Off-White™ c/o Virgil Abloh,yes,0,spotify:album:3jElTBkV4E1atTm8S2pt8d
Asake,Lungu Boy,,1,
Asake,Work Of Art,,1,
Ashley Henry,Beautiful Vinyl Hunter,,1,
Asulin,Suzume,yes,11,spotify:album:1PQXxRZiNItik4fgSrG14L
Ata Kak,Obaa Sima,yes,7,spotify:album:5rWdCCXgUf8Ptz1goEmLKC
Athletic Progression,Athletic Progression,yes,0,spotify:album:0k2rdl136XYJRZA6nPbuw6
Auntie Flo,Highlife World Series: Cuba,,1,
autumn keys,Fear And Loathing In Beats,,1,
Axel Boman,boyboy,,1,
Axel Boman,Studio Barnhus Volym 1,,1,
AYLØ,Insert Project Name,,1,
Azimuth,Late Night Tales: Floating Points,,1,
Azymuth,"Demos (1973-1975), Vol. 1 & 2",,1,
B. Cool-Aid,Leather Blvd.,yes,0,spotify:album:5wXKwBJT6rmrT0uuGngQtj
B. Cool-Aid,soundgood,yes,0,spotify:album:4kFH9UDdmg25A7T8Fc4s1G
B0nds,In My Dreams,,1,
Baba Stiltz,Can't Help It (Radio Edit),yes,1,spotify:album:61zLahN6bMU8lBGfbY1Xv3
Baba Stiltz,Journals,yes,0,spotify:album:6ogoFXSFR4dn4sXoc38kgR
Baba Stiltz,Showtime,yes,4,spotify:album:3W25dUvBpv7kO5wlPzfktc
Baba Stiltz,Studio Barnhus Volym 1,,1,
Baba Stiltz,Total,yes,12,spotify:album:2i51DKiq5QMKuDUJpyYe6X
BAD WITH PHONES,Marinade,,1,
BADBADNOTGOOD,III,yes,9,spotify:album:6VqtrhGLO1qRTjqRow5NG1
BADBADNOTGOOD,IV,yes,11,spotify:album:6R7CVG0kOF7h0NLg10ezpZ
BADBADNOTGOOD,Late Night Tales: Badbadnotgood,yes,2,spotify:album:1J3enVyckc2vOR0xOK1jZX
BADBADNOTGOOD,Late Night Tales: Bonobo,,1,
BADBADNOTGOOD,Sour Soul,yes,12,spotify:album:7gP4vkln7Qmbycgx8WwTzL
BaggE,What About Summer?,,1,
Bakar,Small Town Girl,,1,
Bakar,Will You Be My Yellow?,yes,1,spotify:album:12nH1R4NqEtaOQ5M7RA63p
Balthazar,Applause,yes,11,spotify:album:2CzpgEHGLVdz50o4yuORwB
Balthazar,Fever,yes,11,spotify:album:4cKMQ4mNZsBx40VXtNDpMT
Balthazar,Rats,yes,10,spotify:album:5v9g4vpC18abcnohQqbz4q
Balthazar,Sand,yes,1,spotify:album:0aYwzFnbFur2SEyJKKS0LD
Balthazar,Thin Walls,yes,10,spotify:album:29tvPtFTZwxZZMIA34BjYm
Barakas,fabric presents Bonobo,,1,
Barry Can't Swim,Chala (My Soul Is On A Loop),,1,
Barry Can't Swim,Kimpton,yes,0,spotify:album:4irD2QKX4eA49YhoAhUj21
Barry Can't Swim,Late Night Tales: Barry Can't Swim,yes,0,spotify:album:6Na9SDZe0UA2jKjG6X2arc
Barry Can't Swim,When Will We Land?,yes,2,spotify:album:5LASDBDtLLEt3QqVtgOoaM
Barry White,Can't Get Enough,,1,
Bastien Keb,22.02.85,yes,16,spotify:album:2yix6ciimzalVAJKBnQd0t
Bastien Keb,Dinking in the Shadows of Zizou,yes,11,spotify:album:6jnqzCJk8PpfEPSrjxxh6L
BCUC,Emakhosini,yes,3,spotify:album:0xgQHWHNPg93GYyRr1dm6z
BCUC,Isivunguvungu,yes,1,spotify:album:24jp5kUf5IfwSx9Ubg2jpB
BCUC,Our Truth,yes,4,spotify:album:2mxtmcQNiEczuP1trMkKg5
BCUC,The Healing,yes,3,spotify:album:5za6r1qrz5uTnniRQLPmVH
Beady Belle,DJ-Kicks (Moodymann),,1,
Beat Spacek,Modern Streets (Deluxe Version),yes,16,spotify:album:4Leu5tOvbQ4jvVs0IF5rJd
Bella Boo,boyboy,,1,
Bella Boo,Can't Leave You Like This,,1,
Bella Boo,DreamySpaceyBlue,yes,0,spotify:album:04dTBVDqxwHiYWMskDHQIc
Bella Boo,Fire,yes,5,spotify:album:55upRyzX0TXV1pERJ3vXyT
Bella Boo,Once Upon A Passion,yes,2,spotify:album:3CUMSkvueBIREKbWHPP5Ku
Bella Boo,Studio Barnhus Volym 1,,1,
Bella Boo,Supervillain,yes,3,spotify:album:3LHbQ672nttiCLx9g0ZnaF
Ben Beal,Concussion,,1,
Ben Hauke,From Here,yes,1,spotify:album:0cytiD99DBFxvv4NYOums3
Ben Hauke,Only Old,yes,7,spotify:album:40O7A0vHmXCqPhzFoBCyJi
Ben Hayes,Ready Yet,,1,
Benedict Cumberbatch,Late Night Tales: Bonobo,,1,
Benny Sings,Beat Tape,yes,18,spotify:album:5XSdsuMOVnullL1iEORk0M
Benny Sings,Beat Tape II,,1,
Benny Sings,City Pop,yes,11,spotify:album:4ycm1QupNImrPnYnYeNOlz
Berjan,reserved...,,1,
BERWYN,DEMOTAPE/VEGA,yes,0,spotify:album:3SucuvOplRzjCm602c5XuK
Beshken,Fire Your Gun,,1,
Beshken,Victim / The Medicine,,1,
BexBlu,TWO THOUSAND AND NEVER,,1,
BexBlu,"Wavy, Vol. 2",,1,
BICEP,Apricots,,1,
BICEP,Bicep,yes,12,spotify:album:4psDRFbIlUM1KUb1omccXo
BICEP,Opal (Four Tet Remix),yes,1,spotify:album:2cPmeKiyUBdYDyFG3nbPpN
BICEP,Rain EP,yes,3,spotify:album:15MC9TCrhkBXZv5wNGd9tk
Big Muff,DJ-Kicks (Moodymann),,1,
Biig Piig,Raze : Plan B,,1,
Bill adlib,Habits,,1,
Bill adlib,Smylo,yes,4,spotify:album:5lzjpWyb6Npq3Gv0wC2atL
Bill Evans,Late Night Tales: Bonobo,,1,
Bill Laurance,Keeping Company,,1,
Billie Eilish,Happier Than Ever,yes,0,spotify:album:0JGOiO34nwfUdDrD612dOp
Billy Davis,A Family Portrait,yes,14,spotify:album:5UiggpOrM9G2hsPhH3HmCx
Billy Eckstine,The Spirit Of Memphis (1962-1976),,1,
BINA.,Mercedes to Hades,,1,
Black Josh,Yung Sweg Lawd,yes,0,spotify:album:5YhYhxk3RlqStrLRTUCmJM
Black Pool,For Millie,yes,7,spotify:album:73TShMdgKYThwe0twTXuvE
Black Pool,Here for Now,yes,4,spotify:album:48SqeF1Cfirl9st6jO5Yck
Black Pool,Joven Pirata,yes,5,spotify:album:6cA1uZ6Mwy9C1EC4h04tQl
Black Taffy,Elder Mantis,yes,12,spotify:album:6ICP3FY1TlwllXG3ygkIaV
Black Taffy,Parlour Arcana,yes,4,spotify:album:0SOHha6jG2rdSqzLtbdlF2
BLCKEBY,INNER REMIX PACK,,1,
BLK ODYSSY,BLK VINTAGE: THE REPRISE,yes,0,spotify:album:3xr8qDKOfnCxR49nmtLPjq
Blood Orange,Cupid Deluxe,yes,11,spotify:album:1bsLkHcWAGUao6Z1dHOEIB
Blood Orange,Essex Honey,yes,0,spotify:album:5RUma3H9uzDLXxwT7JzTel
Blood Orange,Freetown Sound,yes,17,spotify:album:3Z2XUjgVj5ZkCGpU7b2qtY
Blood Orange,Negro Swan,yes,16,spotify:album:7bvmGyFDwpHNRRRZJ0AHvn
Bluestaeb,Everything Is Always a Process,yes,15,spotify:album:29J7Z1vaQqGmfHzMYYyWdB
Blundetto,Bad Bad Things,yes,15,spotify:album:3gayu58nRRL9fDpd5Az8kz
Blundetto,Bad Bad Versions,yes,10,spotify:album:4JippIlC1E8e8dkQxfOPl8
Blundetto,Slow Dance,yes,12,spotify:album:3vXABeD0zJOs9UxVOaQG3x
Blundetto,Warm My Soul,yes,11,spotify:album:7imganlnMUudJnqymVDoVt
Blundetto,World Of,yes,12,spotify:album:6CuXb9coIfkBH3pMI4I02a
BluntOne,Self Medication,,1,
Boards of Canada,Late Night Tales: Badbadnotgood,,1,
Bobby Wright,Late Night Tales: Floating Points,,1,
Bohannon,Stop & Go,,1,
Bon Iver,"22, A Million",yes,10,spotify:album:1PgfRdl3lPyACfUGH4pquG
Bon Iver,Bon Iver,yes,10,spotify:album:0XOyEsl3kgwwVpYcLV5rRs
Bon Iver,"For Emma, Forever Ago",yes,9,spotify:album:10HuTnFqkhym6gXmIDxBsm
