artist,saved_artist,albums_in_library,liked_tracks,plays_last_year,hours_last_year,spotify_uri
Vanilla,yes,7,123,14,0.4,spotify:artist:7pnSUizGuS2tAW2yCAhafn
letherette,yes,5,103,37,1.5,spotify:artist:1fQDzf4lnUF4DYngrLJH0m
Toro y Moi,yes,11,92,23,0.5,spotify:artist:6O4EGCCb6DoIiR6B1QCQgp
Flying Lotus,yes,6,86,15,0.3,spotify:artist:29XOeO6KIWxGthejQqn793
Guts,yes,5,82,9,0.3,spotify:artist:5mMkUZv8uUrlH0SHX89BeS
Bonobo,yes,10,81,20,0.8,spotify:artist:0cmWgDlu9CwTgxPhf403hb
MF DOOM,yes,4,80,5,0.1,spotify:artist:2pAWfrd7WFF3XhVt9GooDL
Al Dobson Jr.,yes,4,77,10,0.2,spotify:artist:3YOthLzFPTgp0fEtLRUoES
BROCKHAMPTON,yes,5,76,7,0.1,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA
"Tyler, The Creator",yes,7,75,7,0.1,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF
The Black Keys,yes,6,73,7,0.3,spotify:artist:7mnBLXK823vNxN3UWB7Gfz
Melodiesinfonie,yes,7,71,15,0.5,spotify:artist:3YndyZk8nVLJKspIBo0nLd
Shlohmo,yes,7,71,32,1.1,spotify:artist:6y80I9YZi4DOpbaSUlL725
Four Tet,yes,6,63,9,0.5,spotify:artist:7Eu1txygG6nJttLHbZdQOh
ELWD,yes,6,61,8,0.2,spotify:artist:3UIr0NbZyET0Dt7ErPmPGd
James Blake,yes,9,61,50,1.6,spotify:artist:53KwLdlmrlCelAZMaLVZqU
The Notorious B.I.G.,yes,3,61,4,0.1,spotify:artist:5me0Irg2ANcsgc93uaYrpb
Blundetto,yes,5,60,14,0.4,spotify:artist:3bWxjvKUe8YV0VkI5d3I1Y
Foals,yes,4,60,11,0.1,spotify:artist:6FQqZYVfTNQ1pCqfkwVFEa
Tycho,yes,4,58,7,0.1,spotify:artist:5oOhM2DFWab8XhSdQiITry
Little Dragon,yes,6,57,8,0.1,spotify:artist:6Tyzp9KzpiZ04DABQoedps
Madvillain,yes,3,57,3,0.0,spotify:artist:2aoFQUeHD1U7pL098lRsDU
D'Angelo,yes,3,56,93,6.1,spotify:artist:336vr2M3Va0FjyvB55lJEd
Milo,yes,4,54,5,0.2,spotify:artist:0J6PhnVD21GSFoJ9HoadLH
Thundercat,yes,4,54,17,0.4,spotify:artist:4frXpPxQQZwbCu3eTGnZEw
SBTRKT,yes,8,52,6,0.1,spotify:artist:1O10apSOoAPjOu6UhUNmeI
DJ Shadow,yes,4,51,4,0.2,spotify:artist:5CE2IfdYZEQGIDsfiRm8SI
Isaac Hayes,yes,2,51,3,0.0,spotify:artist:3IKV7o6WPphDB7cCWXaG3E
Mo Kolours,yes,3,51,8,0.2,spotify:artist:7o9hTqdhcddND3te69BBsk
Mac Miller,yes,4,49,7,0.3,spotify:artist:4LLpKhyESsyAXpc4laK94U
Nicolas Jaar,yes,4,49,11,0.3,spotify:artist:5a0etAzO5V26gvlbmHzT9W
Mac DeMarco,yes,6,48,71,2.3,spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM
HONNE,yes,3,47,11,0.4,spotify:artist:0Vw76uk7P8yVtTClWyOhac
Ta-ku,yes,4,46,3,0.2,spotify:artist:13Kd75NSHSp9lB4CaqPMOV
Gorillaz,yes,5,45,12,0.2,spotify:artist:3AA28KZvwAUcZuOKwyblJQ
Blood Orange,yes,4,44,8,0.3,spotify:artist:6LEeAFiJF8OuPx747e1wxR
Ghostpoet,yes,5,44,6,0.1,spotify:artist:69lEbRQRe29JdyLrewNAvD
James Vincent McMorrow,yes,3,44,5,0.1,spotify:artist:7FDlvgcodNfC0IBdWevl4u
